person_id,first_name,last_name,gender,date_of_birth,age,mobile_number,aadhaar_number,pan_number,district
PER977186,Rahul,Hegde,Other,1972-06-24,67,10873081864,508599058212,ZXV0077P,Kalaburagi
PER773970,Divya,Murthy,Male,1979-07-25,21,9432348461,400098117639,AAA0078P,Tumakuru
PER380399,Harish,Sharma,Female,1986-08-26,32,10282273587,486994297092,BDF0079P,Udupi
PER483910,Lakshmi,Shetty,Other,1993-09-27,43,9353308912,183706016089,CGK0080P,Kodagu
PER960590,Aarav,Reddy,Male,2000-10-01,54,10650407826,622897023511,DJP0081P,Bengaluru Urban
PER118146,Ananya,Hegde,Female,1969-11-02,65,9158908822,142458066895,EMU0082P,Mysuru
PER362013,Vikram,Murthy,Other,1976-12-03,19,10143293307,721237125996,FPZ0083P,Dharwad
PER794401,Meera,Sharma,Male,1983-01-04,30,9979573501,848673155033,GSE0084P,Dakshina Kannada
PER389506,Rohan,Shetty,Female,1990-02-05,41,10671071345,430978888401,HVJ0085P,Belagavi
PER166025,Kavya,Reddy,Other,1997-03-06,52,9253369766,888075147575,IYO0086P,Shivamogga
PER197847,Arjun,Hegde,Male,1966-04-07,63,10487852621,306717991745,JBT0087P,Kalaburagi
PER469951,Nandini,Murthy,Female,1973-05-08,74,9905596420,894656614586,KEY0088P,Tumakuru
PER546745,Prakash,Sharma,Other,1980-06-09,28,10234934705,859846855328,LHD0089P,Udupi
PER900380,Shruthi,Shetty,Male,1987-07-10,39,9623531036,405968998189,MKI0090P,Kodagu
PER850660,Siddharth,Reddy,Female,1994-08-11,50,10309906416,988759591980,NNN0091P,Bengaluru Urban
PER106964,Deepa,Hegde,Other,2001-09-12,61,9318231208,464117895904,OQS0092P,Mysuru
PER880101,Manoj,Murthy,Male,1970-10-13,72,10820610940,168149972393,PTX0093P,Dharwad
PER934901,Pooja,Sharma,Female,1977-11-14,26,9626776253,691653200933,QWC0094P,Dakshina Kannada
PER541081,Kiran,Shetty,Other,1984-12-15,37,10184735236,677623701421,RZH0095P,Belagavi
PER377342,Aishwarya,Reddy,Male,1991-01-16,48,9775915460,946651048506,SCM0096P,Shivamogga
PER158533,Rahul,Hegde,Female,1998-02-17,59,10243423016,222780197975,TFR0097P,Kalaburagi
PER446817,Divya,Murthy,Other,1967-03-18,70,9102767508,171336092181,UIW0098P,Tumakuru
PER638027,Harish,Sharma,Male,1974-04-19,24,10740676206,323299858259,VLB0099P,Udupi
PER721156,Lakshmi,Shetty,Female,1981-05-20,35,9456520197,877105065002,WOG0100P,Kodagu
